m_roll,m_pitch,m_yaw,f_roll,f_pitch,f_yaw
6.096,5.066,1.571,5.597,4.937,2.727
6.114,5.098,1.571,5.658,4.975,2.698
6.124,5.135,1.571,5.709,5.013,2.664
6.130,5.175,1.571,5.754,5.052,2.627
6.134,5.220,1.571,5.793,5.092,2.589
6.137,5.267,1.571,5.828,5.133,2.551
6.140,5.317,1.571,5.860,5.174,2.513
6.144,5.367,1.571,5.890,5.217,2.477
6.148,5.418,1.571,5.917,5.260,2.443
6.152,5.469,1.571,5.942,5.304,2.410
6.155,5.522,1.571,5.965,5.349,2.379
6.157,5.576,1.571,5.987,5.394,2.350
6.159,5.632,1.571,6.007,5.439,2.323
6.160,5.688,1.571,6.025,5.484,2.297
6.162,5.742,1.571,6.042,5.528,2.273
6.163,5.791,1.571,6.058,5.571,2.250
6.165,5.834,1.571,6.073,5.612,2.229
6.168,5.870,1.571,6.088,5.652,2.208
6.173,5.899,1.571,6.101,5.688,2.188
6.180,5.923,1.571,6.114,5.722,2.168
6.188,5.944,1.571,6.125,5.754,2.148
6.198,5.962,1.571,6.136,5.784,2.128
6.208,5.979,1.571,6.146,5.812,2.107
6.217,5.994,1.571,6.155,5.837,2.086
6.226,6.008,1.571,6.163,5.861,2.065
6.233,6.021,1.571,6.169,5.883,2.042
6.240,6.033,1.571,6.175,5.904,2.020
6.246,6.046,1.571,6.180,5.923,1.997
6.252,6.059,1.571,6.184,5.941,1.974
6.257,6.071,1.571,6.188,5.957,1.951
6.261,6.082,1.571,6.191,5.972,1.928
6.264,6.092,1.571,6.194,5.986,1.906
6.266,6.100,1.571,6.197,5.998,1.884
6.267,6.106,1.571,6.199,6.010,1.862
6.268,6.109,1.571,6.200,6.020,1.842
6.268,6.111,1.571,6.202,6.029,1.823
6.267,6.112,1.571,6.203,6.037,1.804
6.265,6.113,1.571,6.204,6.044,1.787
6.263,6.114,1.571,6.205,6.051,1.771
6.260,6.116,1.571,6.206,6.058,1.756
6.258,6.117,1.571,6.207,6.064,1.743
6.256,6.119,1.571,6.208,6.070,1.730
6.254,6.122,1.571,6.208,6.075,1.718
6.252,6.124,1.571,6.208,6.081,1.707
6.250,6.128,1.571,6.208,6.086,1.698
6.248,6.131,1.571,6.207,6.090,1.688
6.244,6.133,1.571,6.206,6.094,1.680
6.239,6.135,1.571,6.204,6.098,1.672
6.233,6.137,1.571,6.203,6.101,1.665
6.226,6.139,1.571,6.201,6.104,1.658
6.218,6.141,1.571,6.199,6.106,1.652
6.211,6.144,1.571,6.197,6.109,1.647
6.204,6.147,1.571,6.195,6.112,1.641
6.197,6.151,1.571,6.193,6.115,1.637
6.188,6.156,1.571,6.191,6.118,1.632
6.179,6.162,1.571,6.189,6.122,1.628
6.170,6.170,1.571,6.188,6.126,1.624
